bucket,feature,keep_feature,relation,evidence_level,recommended_action,rationale,source_group,present_in_train_schema,present_in_inference_schema,keep_present_in_train_schema,keep_present_in_inference_schema,feature_family,mean_importance,importance_rank,max_abs_corr,max_corr_partner,nunique,std,target_corr,keep_mean_importance,pair_corr,pair_abs_corr,code_references
exact_prune_17,sc_trust,,constant,high,drop_in_exact_prune,single-value public replay trust column in the exp148 train surface,public_replay_constant,True,True,,,base_replay,0.0,290,,,1,0.0035848065745085,,,,,experiments/exp072_exp063_full_replay_feature_cache/public_notebook_replay_audit.py:561
exact_prune_17,ll_candidate_tvt_likpf_mean_minus_likpf_mean_tvt,,constant_zero,high,drop_in_exact_prune,likPF candidate TVT minus itself is a constant zero column,learned_likelihood_candidate_tvt_delta,True,True,,,learned_likelihood,0.0,290,,,1,0.0,,,,,experiments/exp145_learned_likelihood_rawtest_feature_generator_parity/learned_likelihood_rawtest_feature_generator_parity.py:33;experiments/exp145_learned_likelihood_rawtest_feature_generator_parity/learned_likelihood_rawtest_feature_generator_parity.py:140;experiments/exp148_learned_likelihood_fulltrain_addonly_on_exp092/learned_likelihood_fulltrain_addonly_on_exp092.py:821;experiments/exp148_learned_likelihood_fulltrain_addonly_on_exp092/learned_likelihood_fulltrain_addonly_on_exp092.py:822
exact_prune_17,ll_candidate_tvt_beam_mean_minus_last_known_tvt,beam_mean_d,existing_delta_duplicate,high,drop_in_exact_prune,exp145 candidate TVT is the original beam_mean TVT; exp148 re-emits its last-known delta,learned_likelihood_candidate_tvt_delta,True,True,True,True,learned_likelihood,1123.7333333333331,97,0.9999999962819376,beam_mean_d,12259,3.167441368103028,0.1418632841667713,1775.2,0.9999999962819376,0.9999999962819376,experiments/exp145_learned_likelihood_rawtest_feature_generator_parity/learned_likelihood_rawtest_feature_generator_parity.py:33;experiments/exp145_learned_likelihood_rawtest_feature_generator_parity/learned_likelihood_rawtest_feature_generator_parity.py:140;experiments/exp148_learned_likelihood_fulltrain_addonly_on_exp092/learned_likelihood_fulltrain_addonly_on_exp092.py:821;experiments/exp148_learned_likelihood_fulltrain_addonly_on_exp092/learned_likelihood_fulltrain_addonly_on_exp092.py:822
exact_prune_17,ll_candidate_tvt_beam_mean_minus_likpf_mean_tvt,uproj_diff_beam_mean_minus_likpf_mean,existing_disagreement_duplicate,high,drop_in_exact_prune,beam_mean minus likPF disagreement already exists in the exp092 U-projection block,learned_likelihood_candidate_tvt_delta,True,True,True,True,learned_likelihood,564.0666666666667,134,1.0,uproj_diff_beam_mean_minus_likpf_mean,79285,14.24120044708252,-0.6972360026986436,1221.7333333333331,1.0,1.0,experiments/exp145_learned_likelihood_rawtest_feature_generator_parity/learned_likelihood_rawtest_feature_generator_parity.py:33;experiments/exp145_learned_likelihood_rawtest_feature_generator_parity/learned_likelihood_rawtest_feature_generator_parity.py:140;experiments/exp148_learned_likelihood_fulltrain_addonly_on_exp092/learned_likelihood_fulltrain_addonly_on_exp092.py:821;experiments/exp148_learned_likelihood_fulltrain_addonly_on_exp092/learned_likelihood_fulltrain_addonly_on_exp092.py:822
exact_prune_17,ll_candidate_tvt_hyb_minus_last_known_tvt,hyb_d,existing_delta_duplicate,high,drop_in_exact_prune,exp145 candidate TVT is the original hybrid TVT; exp148 re-emits its last-known delta,learned_likelihood_candidate_tvt_delta,True,True,True,True,learned_likelihood,52.4,264,1.0,hyb_d,229502,83.55321502685547,0.005172340143228,181.9333333333333,1.0,1.0,experiments/exp145_learned_likelihood_rawtest_feature_generator_parity/learned_likelihood_rawtest_feature_generator_parity.py:33;experiments/exp145_learned_likelihood_rawtest_feature_generator_parity/learned_likelihood_rawtest_feature_generator_parity.py:140;experiments/exp148_learned_likelihood_fulltrain_addonly_on_exp092/learned_likelihood_fulltrain_addonly_on_exp092.py:821;experiments/exp148_learned_likelihood_fulltrain_addonly_on_exp092/learned_likelihood_fulltrain_addonly_on_exp092.py:822
exact_prune_17,ll_candidate_tvt_likpf_mean_minus_last_known_tvt,likpf_mean_d,existing_delta_duplicate,high,drop_in_exact_prune,exp145 candidate TVT is the original likPF mean TVT; exp148 re-emits its last-known delta,learned_likelihood_candidate_tvt_delta,True,True,True,True,learned_likelihood,902.2666666666668,122,1.0,likpf_mean_d,80086,14.535850524902344,0.7140261782766364,2142.0666666666666,1.0,1.0,experiments/exp145_learned_likelihood_rawtest_feature_generator_parity/learned_likelihood_rawtest_feature_generator_parity.py:33;experiments/exp145_learned_likelihood_rawtest_feature_generator_parity/learned_likelihood_rawtest_feature_generator_parity.py:140;experiments/exp148_learned_likelihood_fulltrain_addonly_on_exp092/learned_likelihood_fulltrain_addonly_on_exp092.py:821;experiments/exp148_learned_likelihood_fulltrain_addonly_on_exp092/learned_likelihood_fulltrain_addonly_on_exp092.py:822
exact_prune_17,ll_candidate_tvt_pf_ancc_minus_last_known_tvt,pf_ancc_delta,existing_delta_duplicate,high,drop_in_exact_prune,exp145 candidate TVT is the original PF ANCC TVT; exp148 re-emits its last-known delta,learned_likelihood_candidate_tvt_delta,True,True,True,True,learned_likelihood,630.2,130,1.0,pf_ancc_delta,79697,14.377152442932127,0.5477931486684028,1430.3333333333333,1.0,1.0,experiments/exp145_learned_likelihood_rawtest_feature_generator_parity/learned_likelihood_rawtest_feature_generator_parity.py:33;experiments/exp145_learned_likelihood_rawtest_feature_generator_parity/learned_likelihood_rawtest_feature_generator_parity.py:140;experiments/exp148_learned_likelihood_fulltrain_addonly_on_exp092/learned_likelihood_fulltrain_addonly_on_exp092.py:821;experiments/exp148_learned_likelihood_fulltrain_addonly_on_exp092/learned_likelihood_fulltrain_addonly_on_exp092.py:822
exact_prune_17,ll_candidate_tvt_pf_ancc_minus_likpf_mean_tvt,uproj_diff_pf_ancc_minus_likpf_mean,existing_disagreement_duplicate,high,drop_in_exact_prune,PF ANCC minus likPF disagreement already exists in the exp092 U-projection block,learned_likelihood_candidate_tvt_delta,True,True,True,True,learned_likelihood,736.1333333333333,128,1.0,uproj_diff_pf_ancc_minus_likpf_mean,71554,11.508105278015137,-0.2174504720746543,1740.6666666666667,1.0,1.0,experiments/exp145_learned_likelihood_rawtest_feature_generator_parity/learned_likelihood_rawtest_feature_generator_parity.py:33;experiments/exp145_learned_likelihood_rawtest_feature_generator_parity/learned_likelihood_rawtest_feature_generator_parity.py:140;experiments/exp148_learned_likelihood_fulltrain_addonly_on_exp092/learned_likelihood_fulltrain_addonly_on_exp092.py:821;experiments/exp148_learned_likelihood_fulltrain_addonly_on_exp092/learned_likelihood_fulltrain_addonly_on_exp092.py:822
exact_prune_17,ll_candidate_tvt_sc_ens_minus_last_known_tvt,sc_ens_d,existing_delta_duplicate,high,drop_in_exact_prune,exp145 candidate TVT is the original scale-consensus TVT; exp148 re-emits its last-known delta,learned_likelihood_candidate_tvt_delta,True,True,True,True,learned_likelihood,37.0,272,1.0,sc_ens_d,300516,139.24130249023438,0.0046168943456271,138.8,1.0,1.0,experiments/exp145_learned_likelihood_rawtest_feature_generator_parity/learned_likelihood_rawtest_feature_generator_parity.py:33;experiments/exp145_learned_likelihood_rawtest_feature_generator_parity/learned_likelihood_rawtest_feature_generator_parity.py:140;experiments/exp148_learned_likelihood_fulltrain_addonly_on_exp092/learned_likelihood_fulltrain_addonly_on_exp092.py:821;experiments/exp148_learned_likelihood_fulltrain_addonly_on_exp092/learned_likelihood_fulltrain_addonly_on_exp092.py:822
exact_prune_17,tda0,gr_vs_tw_anc,near_exact_public_replay_duplicate,high,drop_in_exact_prune,typewell GR residual at zero anchor offset is the same diagnostic as gr_vs_tw_anc,public_replay_anchor_duplicate,True,True,True,True,base_replay,78.46666666666667,256,0.9999999707804362,gr_vs_tw_anc,369085,20.207670211791992,-0.0305148555679143,165.06666666666666,0.9999999707804362,0.9999999707804362,experiments/exp072_exp063_full_replay_feature_cache/public_notebook_replay_audit.py:531;experiments/exp072_exp063_full_replay_feature_cache/public_notebook_replay_audit.py:627;experiments/exp072_exp063_full_replay_feature_cache/public_notebook_replay_audit.py:628
exact_prune_17,dense_bias,dense_rmse,near_exact_public_replay_duplicate,high,drop_in_exact_prune,dense ANCC bias and RMSE are effectively identical on the fixed train surface,public_replay_dense_duplicate,True,True,True,True,base_replay,224.3333333333333,201,0.9999999994694734,dense_rmse,773,651.9100952148438,0.010963109713089,445.4666666666666,0.9999999994694734,0.9999999994694734,experiments/exp072_exp063_full_replay_feature_cache/public_notebook_replay_audit.py:617;experiments/exp072_exp063_full_replay_feature_cache/public_notebook_replay_audit.py:617
