source_group,path,pattern,reference
learned_likelihood_candidate_tvt_delta,experiments/exp145_learned_likelihood_rawtest_feature_generator_parity/learned_likelihood_rawtest_feature_generator_parity.py,class CandidateSpec,experiments/exp145_learned_likelihood_rawtest_feature_generator_parity/learned_likelihood_rawtest_feature_generator_parity.py:33
learned_likelihood_candidate_tvt_delta,experiments/exp145_learned_likelihood_rawtest_feature_generator_parity/learned_likelihood_rawtest_feature_generator_parity.py,candidate_values,experiments/exp145_learned_likelihood_rawtest_feature_generator_parity/learned_likelihood_rawtest_feature_generator_parity.py:140
learned_likelihood_candidate_tvt_delta,experiments/exp148_learned_likelihood_fulltrain_addonly_on_exp092/learned_likelihood_fulltrain_addonly_on_exp092.py,minus_last_known_tvt,experiments/exp148_learned_likelihood_fulltrain_addonly_on_exp092/learned_likelihood_fulltrain_addonly_on_exp092.py:821
learned_likelihood_candidate_tvt_delta,experiments/exp148_learned_likelihood_fulltrain_addonly_on_exp092/learned_likelihood_fulltrain_addonly_on_exp092.py,minus_likpf_mean_tvt,experiments/exp148_learned_likelihood_fulltrain_addonly_on_exp092/learned_likelihood_fulltrain_addonly_on_exp092.py:822
u_projection_corr_resid_sign_flip,experiments/exp092_u_projection_correction_disagreement_fullrun/u_projection_correction_disagreement_fullrun.py,(source_u - poly),experiments/exp092_u_projection_correction_disagreement_fullrun/u_projection_correction_disagreement_fullrun.py:505
u_projection_corr_resid_sign_flip,experiments/exp092_u_projection_correction_disagreement_fullrun/u_projection_correction_disagreement_fullrun.py,(poly - source_u),experiments/exp092_u_projection_correction_disagreement_fullrun/u_projection_correction_disagreement_fullrun.py:506
u_projection_base_disagreement_duplicate,experiments/exp092_u_projection_correction_disagreement_fullrun/u_projection_correction_disagreement_fullrun.py,"diff_col = f""uproj_diff_{left}_minus_{right}""",experiments/exp092_u_projection_correction_disagreement_fullrun/u_projection_correction_disagreement_fullrun.py:557
public_replay_constant,experiments/exp072_exp063_full_replay_feature_cache/public_notebook_replay_audit.py,sc_trust,experiments/exp072_exp063_full_replay_feature_cache/public_notebook_replay_audit.py:561
public_replay_anchor_duplicate,experiments/exp072_exp063_full_replay_feature_cache/public_notebook_replay_audit.py,ANCH_OFFS,experiments/exp072_exp063_full_replay_feature_cache/public_notebook_replay_audit.py:531
public_replay_anchor_duplicate,experiments/exp072_exp063_full_replay_feature_cache/public_notebook_replay_audit.py,gr_vs_tw_anc,experiments/exp072_exp063_full_replay_feature_cache/public_notebook_replay_audit.py:627
public_replay_anchor_duplicate,experiments/exp072_exp063_full_replay_feature_cache/public_notebook_replay_audit.py,"f""tda{int(o)}""",experiments/exp072_exp063_full_replay_feature_cache/public_notebook_replay_audit.py:628
public_replay_dense_duplicate,experiments/exp072_exp063_full_replay_feature_cache/public_notebook_replay_audit.py,dense_rmse,experiments/exp072_exp063_full_replay_feature_cache/public_notebook_replay_audit.py:617
public_replay_dense_duplicate,experiments/exp072_exp063_full_replay_feature_cache/public_notebook_replay_audit.py,dense_bias,experiments/exp072_exp063_full_replay_feature_cache/public_notebook_replay_audit.py:617
public_replay_formation_bias_near_duplicate,experiments/exp072_exp063_full_replay_feature_cache/public_notebook_replay_audit.py,def seg_b_well,experiments/exp072_exp063_full_replay_feature_cache/public_notebook_replay_audit.py:460
public_replay_formation_bias_near_duplicate,experiments/exp072_exp063_full_replay_feature_cache/public_notebook_replay_audit.py,tvtF50_,experiments/exp072_exp063_full_replay_feature_cache/public_notebook_replay_audit.py:575
public_replay_formation_bias_near_duplicate,experiments/exp072_exp063_full_replay_feature_cache/public_notebook_replay_audit.py,bw50_,experiments/exp072_exp063_full_replay_feature_cache/public_notebook_replay_audit.py:576
